Nama Tugas,Estimasi (jam),Progress ,Deadline,Kategori,Tipe Beban
mengajar,1,100%,13/9/2025,Non-Akademik,Sesi
Tugas Kelompok Data Analitik 1,4,100%,14/9/2025,Akademik,Dicicil
mengajar,2,100%,14/9/2025,Non-Akademik,Sesi
mengajar,1,100%,14/9/2025,Non-Akademik,Sesi
mengajar,1.5,100%,14/9/2025,Non-Akademik,Sesi
mengajar,1.5,100%,14/9/2025,Non-Akademik,Sesi
Tugas Individu Data Analitik 1,2,100%,15/9/2025,Akademik,Dicicil
Presentasi MPTI 2,1,100%,15/9/2025,Akademik,Sesi
mengajar,1.5,100%,16/9/2025,Non-Akademik,Sesi
mengajar,2,100%,16/9/2025,Non-Akademik,Sesi
Tugas Individu Review Buku Data Kecerdasan Bisnis 1,6,100%,17/9/2025,Akademik,Dicicil
Tugas Kelompok Kecerdasan Bisnis 2,2,100%,17/9/2025,Akademik,Dicicil
Tugas Kelompok LSV 1,2,100%,17/9/2025,Akademik,Dicicil
mengajar,1,100%,17/9/2025,Non-Akademik,Sesi
Tugas Pancasila 3,0.3,100%,18/9/2025,Akademik,Dicicil
Tugas Individu Kecerdasan Bisnis 2,1,100%,20/9/2025,Akademik,Dicicil
Kuis Kecerdasan Bisnis 1,1,100%,24/9/2025,Akademik,Dicicil
Kuis Kecerdasan Bisnis 2,1,100%,24/9/2025,Akademik,Dicicil
Perbaikan Kuis Kecerdasan Bisnis 1,2,100%,25/9/2025,Akademik,Dicicil
Tugas Pancasila 4,0.3,100%,25/9/2025,Akademik,Dicicil
mengajar,1.2,100%,27/9/2025,Non-Akademik,Sesi
mengajar,1.5,100%,27/9/2025,Non-Akademik,Sesi
mengajar,1,100%,27/9/2025,Non-Akademik,Sesi
mengajar,1.5,100%,27/9/2025,Non-Akademik,Sesi
mengajar,1,100%,27/9/2025,Non-Akademik,Sesi
mengajar,2,100%,28/9/2025,Non-Akademik,Sesi
mengajar,1,100%,28/9/2025,Non-Akademik,Sesi
mengajar,1.5,100%,28/9/2025,Non-Akademik,Sesi
mengajar,1,100%,28/9/2025,Non-Akademik,Sesi
Tugas PCD 1,1,100%,30/9/2025,Akademik,Dicicil
Cisco Course,20,100%,30/9/2025,Akademik,Dicicil
Tugas VisDat 1,6,100%,1/10/2025,Akademik,Dicicil
Tugas Pancasila 5,0.3,100%,2/10/2025,Akademik,Dicicil
Persiapan ICWSDGs,4,100%,2/10/2025,Non-Akademik,Dicicil
Menghubungi dosen,5,100%,2/10/2025,Non-Akademik,Dicicil
Tugas Kelompok Data Analitik 2,8,100%,3/10/2025,Akademik,Dicicil
mengajar,2,100%,3/10/2025,Non-Akademik,Sesi
Tugas Individu Kecerdasan Bisnis 3,2,100%,6/10/2025,Akademik,Dicicil
Persiapan ICWSDGs,3,100%,6/10/2025,Non-Akademik,Dicicil
mengajar,1.5,100%,7/10/2025,Non-Akademik,Sesi
mengajar,2,100%,7/10/2025,Non-Akademik,Sesi
Persiapan ICWSDGs,3,100%,7/10/2025,Non-Akademik,Dicicil
Kuis Kecerdasan Bisnis 3,6,100%,8/10/2025,Akademik,Dicicil
mengajar,1,100%,8/10/2025,Non-Akademik,Sesi
mengajar,2,100%,8/10/2025,Non-Akademik,Sesi
Persiapan ICWSDGs,4,100%,8/10/2025,Non-Akademik,Dicicil
Tugas Pancasila 6,0.3,100%,9/10/2025,Akademik,Dicicil
